,Date,HE,Area,MW
139,1/7/2023,2,RTO,667.265
140,1/7/2023,3,RTO,741.746
141,1/7/2023,4,RTO,1197.082
142,1/7/2023,5,RTO,1287.127
143,1/7/2023,6,RTO,1328.5
144,1/7/2023,7,RTO,1446.247
145,1/7/2023,8,RTO,1704.868
146,1/7/2023,9,RTO,1747.511
147,1/7/2023,10,RTO,1777.045
148,1/7/2023,11,RTO,1618.332
149,1/7/2023,12,RTO,1537.467
150,1/7/2023,13,RTO,1250.79
151,1/7/2023,14,RTO,1159.342
152,1/7/2023,15,RTO,1151.374
153,1/7/2023,16,RTO,1144.293
154,1/7/2023,17,RTO,1181.159
155,1/7/2023,18,RTO,1386.273
156,1/7/2023,19,RTO,1597.807
157,1/7/2023,20,RTO,1493.791
158,1/7/2023,21,RTO,1305.698
159,1/7/2023,22,RTO,1322.828
160,1/7/2023,23,RTO,1238.775
161,1/7/2023,24,RTO,1325.082
162,1/8/2023,1,RTO,1017.753
163,1/8/2023,2,RTO,750.663
164,1/8/2023,3,RTO,829.031
165,1/8/2023,4,RTO,1021.593
166,1/8/2023,5,RTO,955.907
167,1/8/2023,6,RTO,1000.922
168,1/8/2023,7,RTO,882.735
169,1/8/2023,8,RTO,854.997
170,1/8/2023,9,RTO,813.27
171,1/8/2023,10,RTO,543.045
172,1/8/2023,11,RTO,357.981
173,1/8/2023,12,RTO,292.703
174,1/8/2023,13,RTO,282.704
175,1/8/2023,14,RTO,397.287
176,1/8/2023,15,RTO,484.262
177,1/8/2023,16,RTO,585.099
178,1/8/2023,17,RTO,668.784
179,1/8/2023,18,RTO,702.7
180,1/8/2023,19,RTO,682.927
181,1/8/2023,20,RTO,831.448
182,1/8/2023,21,RTO,969.8
183,1/8/2023,22,RTO,902.601
184,1/8/2023,23,RTO,1042.662
185,1/8/2023,24,RTO,1066.508
186,1/9/2023,1,RTO,1323.262
187,1/9/2023,2,RTO,1945.252
188,1/9/2023,3,RTO,2317.738
189,1/9/2023,4,RTO,2565.203
190,1/9/2023,5,RTO,2468.016
191,1/9/2023,6,RTO,2575.873
192,1/9/2023,7,RTO,2676.782
193,1/9/2023,8,RTO,3132.648
194,1/9/2023,9,RTO,3553.878
195,1/9/2023,10,RTO,3467.051
196,1/9/2023,11,RTO,3168.13
197,1/9/2023,12,RTO,2848.527
198,1/9/2023,13,RTO,2683.048
199,1/9/2023,14,RTO,2848.187
200,1/9/2023,15,RTO,3233.292
201,1/9/2023,16,RTO,3553.322
202,1/9/2023,17,RTO,3823.91
203,1/9/2023,18,RTO,4556.344
204,1/9/2023,19,RTO,5430.196
205,1/9/2023,20,RTO,6268.013
206,1/9/2023,21,RTO,6930.6
207,1/9/2023,22,RTO,7289.375
208,1/9/2023,23,RTO,7474.397
209,1/9/2023,24,RTO,7501.572
210,1/10/2023,1,RTO,7587.872
211,1/10/2023,2,RTO,7594.266
212,1/10/2023,3,RTO,7050.516
213,1/10/2023,4,RTO,6369.349
214,1/10/2023,5,RTO,5729.355
215,1/10/2023,6,RTO,5066.729
216,1/10/2023,7,RTO,4170.736
217,1/10/2023,8,RTO,3034.141
218,1/10/2023,9,RTO,2292.872
219,1/10/2023,10,RTO,1544.047
220,1/10/2023,11,RTO,818.883
221,1/10/2023,12,RTO,461.135
222,1/10/2023,13,RTO,213.563
223,1/10/2023,14,RTO,184.571
224,1/10/2023,15,RTO,199.569
225,1/10/2023,16,RTO,292.075
226,1/10/2023,17,RTO,460.806
227,1/10/2023,18,RTO,582.257
228,1/10/2023,19,RTO,461.521
229,1/10/2023,20,RTO,425.27
230,1/10/2023,21,RTO,425.356
231,1/10/2023,22,RTO,527.684
232,1/10/2023,23,RTO,675.39
233,1/10/2023,24,RTO,828.26
234,1/11/2023,1,RTO,1111.852
235,1/11/2023,2,RTO,1177.078
236,1/11/2023,3,RTO,1082.804
237,1/11/2023,4,RTO,1361.878
238,1/11/2023,5,RTO,1436.128
239,1/11/2023,6,RTO,2615.359
240,1/11/2023,7,RTO,3536.047
241,1/11/2023,8,RTO,4064.534
242,1/11/2023,9,RTO,3467.11
243,1/11/2023,10,RTO,2667.53
244,1/11/2023,11,RTO,2068.852
245,1/11/2023,12,RTO,1616.58
246,1/11/2023,13,RTO,1387.356
247,1/11/2023,14,RTO,1144.104
248,1/11/2023,15,RTO,1398.182
249,1/11/2023,16,RTO,1607.492
250,1/11/2023,17,RTO,1878.854
251,1/11/2023,18,RTO,2011.247
252,1/11/2023,19,RTO,2207.496
253,1/11/2023,20,RTO,2327.714
254,1/11/2023,21,RTO,2414.861
255,1/11/2023,22,RTO,2363.682
256,1/11/2023,23,RTO,2223.555
257,1/11/2023,24,RTO,2049.216
258,1/12/2023,1,RTO,2108.651
259,1/12/2023,2,RTO,2193.932
260,1/12/2023,3,RTO,2666.926
261,1/12/2023,4,RTO,3311.928
262,1/12/2023,5,RTO,4339.782
263,1/12/2023,6,RTO,4392.426
264,1/12/2023,7,RTO,5000.791
265,1/12/2023,8,RTO,6063.746
266,1/12/2023,9,RTO,6761.004
267,1/12/2023,10,RTO,7153.775
268,1/12/2023,11,RTO,7604.376
269,1/12/2023,12,RTO,8046.387
270,1/12/2023,13,RTO,8198.709
271,1/12/2023,14,RTO,8421.772
272,1/12/2023,15,RTO,8647.933
273,1/12/2023,16,RTO,8625.992
274,1/12/2023,17,RTO,8171.376
275,1/12/2023,18,RTO,7642.39
276,1/12/2023,19,RTO,7506.981
277,1/12/2023,20,RTO,7257.598
278,1/12/2023,21,RTO,7084.88
279,1/12/2023,22,RTO,7097.679
280,1/12/2023,23,RTO,7098.136
281,1/12/2023,24,RTO,6714.923
282,1/13/2023,1,RTO,6456.339
283,1/13/2023,2,RTO,6835.009
284,1/13/2023,3,RTO,7052.119
285,1/13/2023,4,RTO,6994.358
286,1/13/2023,5,RTO,7236.976
287,1/13/2023,6,RTO,7372.606
288,1/13/2023,7,RTO,7089.152
289,1/13/2023,8,RTO,7138.033
290,1/13/2023,9,RTO,7134.823
291,1/13/2023,10,RTO,6893.575
292,1/13/2023,11,RTO,6754.804
293,1/13/2023,12,RTO,6525.246
294,1/13/2023,13,RTO,6368.166
295,1/13/2023,14,RTO,6528.914
296,1/13/2023,15,RTO,6212.532
297,1/13/2023,16,RTO,6015.425
298,1/13/2023,17,RTO,5788.233
299,1/13/2023,18,RTO,5424.655
300,1/13/2023,19,RTO,5155.94
301,1/13/2023,20,RTO,4906.253
302,1/13/2023,21,RTO,4598.258
303,1/13/2023,22,RTO,4065.494
304,1/13/2023,23,RTO,3651.302
305,1/13/2023,24,RTO,3078.117
306,1/14/2023,1,RTO,2519.27
307,1/14/2023,2,RTO,2533.241
308,1/14/2023,3,RTO,2504.092
309,1/14/2023,4,RTO,2288.711
310,1/14/2023,5,RTO,2165.375
311,1/14/2023,6,RTO,1906.273
312,1/14/2023,7,RTO,1899.323
313,1/14/2023,8,RTO,1781.062
314,1/14/2023,9,RTO,1680.108
315,1/14/2023,10,RTO,1566.348
316,1/14/2023,11,RTO,1576.127
317,1/14/2023,12,RTO,1578.566
318,1/14/2023,13,RTO,1699.112
319,1/14/2023,14,RTO,1863.59
320,1/14/2023,15,RTO,1873.964
321,1/14/2023,16,RTO,1921.917
322,1/14/2023,17,RTO,2104.304
323,1/14/2023,18,RTO,2469.729
324,1/14/2023,19,RTO,2954.671
325,1/14/2023,20,RTO,3602.884
326,1/14/2023,21,RTO,4001.854
327,1/14/2023,22,RTO,3916.362
328,1/14/2023,23,RTO,4116.197
329,1/14/2023,24,RTO,4409.831
330,1/15/2023,1,RTO,4710.504
331,1/15/2023,2,RTO,4768.401
332,1/15/2023,3,RTO,4915.301
333,1/15/2023,4,RTO,4816.743
334,1/15/2023,5,RTO,4979.965
335,1/15/2023,6,RTO,5263.788
336,1/15/2023,7,RTO,5365.175
337,1/15/2023,8,RTO,5914.507
338,1/15/2023,9,RTO,6198.049
339,1/15/2023,10,RTO,6489.302
340,1/15/2023,11,RTO,6362.261
341,1/15/2023,12,RTO,6491.467
342,1/15/2023,13,RTO,6494.647
343,1/15/2023,14,RTO,6249.57
344,1/15/2023,15,RTO,6138.536
345,1/15/2023,16,RTO,6318.936
346,1/15/2023,17,RTO,6795.916
347,1/15/2023,18,RTO,6846.719
348,1/15/2023,19,RTO,7079.777
349,1/15/2023,20,RTO,7549.275
350,1/15/2023,21,RTO,7674.148
351,1/15/2023,22,RTO,7590.0
352,1/15/2023,23,RTO,7421.668
353,1/15/2023,24,RTO,7403.019
354,1/16/2023,1,RTO,7278.006
355,1/16/2023,2,RTO,6983.592
356,1/16/2023,3,RTO,6829.868
357,1/16/2023,4,RTO,6789.95
358,1/16/2023,5,RTO,6845.211
359,1/16/2023,6,RTO,6743.376
360,1/16/2023,7,RTO,7111.66
361,1/16/2023,8,RTO,7379.762
362,1/16/2023,9,RTO,7374.961
363,1/16/2023,10,RTO,7150.379
364,1/16/2023,11,RTO,7067.711
365,1/16/2023,12,RTO,7156.741
366,1/16/2023,13,RTO,7216.183
367,1/16/2023,14,RTO,7304.701
368,1/16/2023,15,RTO,7499.382
369,1/16/2023,16,RTO,7568.415
370,1/16/2023,17,RTO,7368.844
371,1/16/2023,18,RTO,7452.889
372,1/16/2023,19,RTO,7472.569
373,1/16/2023,20,RTO,7488.826
374,1/16/2023,21,RTO,7520.774
375,1/16/2023,22,RTO,7567.504
376,1/16/2023,23,RTO,7103.375
377,1/16/2023,24,RTO,6945.007
378,1/17/2023,1,RTO,7169.203
379,1/17/2023,2,RTO,7266.236
380,1/17/2023,3,RTO,6904.531
381,1/17/2023,4,RTO,6877.567
382,1/17/2023,5,RTO,6876.862
383,1/17/2023,6,RTO,7027.167
384,1/17/2023,7,RTO,6911.741
385,1/17/2023,8,RTO,6867.234
386,1/17/2023,9,RTO,7077.931
387,1/17/2023,10,RTO,7153.336
388,1/17/2023,11,RTO,7632.879
389,1/17/2023,12,RTO,7631.83
390,1/17/2023,13,RTO,7853.891
391,1/17/2023,14,RTO,8106.688
392,1/17/2023,15,RTO,8115.078
393,1/17/2023,16,RTO,7817.257
394,1/17/2023,17,RTO,7682.838
395,1/17/2023,18,RTO,7517.601
396,1/17/2023,19,RTO,7166.372
397,1/17/2023,20,RTO,7292.974
398,1/17/2023,21,RTO,7475.889
399,1/17/2023,22,RTO,6985.469
400,1/17/2023,23,RTO,6711.632
401,1/17/2023,24,RTO,6205.553
402,1/18/2023,1,RTO,5888.612
403,1/18/2023,2,RTO,5540.846
404,1/18/2023,3,RTO,4938.617
405,1/18/2023,4,RTO,4206.31
406,1/18/2023,5,RTO,3400.447
407,1/18/2023,6,RTO,2857.322
408,1/18/2023,7,RTO,2485.637
409,1/18/2023,8,RTO,2374.551
410,1/18/2023,9,RTO,2412.118
411,1/18/2023,10,RTO,2278.523
412,1/18/2023,11,RTO,2578.816
413,1/18/2023,12,RTO,2823.195
414,1/18/2023,13,RTO,2749.565
415,1/18/2023,14,RTO,3024.317
416,1/18/2023,15,RTO,3939.588
417,1/18/2023,16,RTO,3970.121
418,1/18/2023,17,RTO,4645.988
419,1/18/2023,18,RTO,5382.3
420,1/18/2023,19,RTO,6331.213
421,1/18/2023,20,RTO,6841.982
422,1/18/2023,21,RTO,7076.862
423,1/18/2023,22,RTO,7391.992
424,1/18/2023,23,RTO,7344.684
425,1/18/2023,24,RTO,7078.388
426,1/19/2023,1,RTO,6443.177
427,1/19/2023,2,RTO,5154.17
428,1/19/2023,3,RTO,3882.899
429,1/19/2023,4,RTO,3165.991
