,Date,HE,MW
163,1/8/2023,1,1121.527504
164,1/8/2023,2,-532.142149
165,1/8/2023,3,328.6951125
166,1/8/2023,4,-357.9551442
167,1/8/2023,5,1348.142637
168,1/8/2023,6,1643.256193
169,1/8/2023,7,943.7581531
170,1/8/2023,8,-994.524666
171,1/8/2023,9,660.7969518
172,1/8/2023,10,-793.5110611
173,1/8/2023,11,200.8364929
174,1/8/2023,12,521.1164864
175,1/8/2023,13,-676.2014747
176,1/8/2023,14,-1021.912194
177,1/8/2023,15,-75.5448175
178,1/8/2023,16,-620.0545212
179,1/8/2023,17,-195.1477481
180,1/8/2023,18,891.703095
181,1/8/2023,19,-609.7710132
182,1/8/2023,20,857.5258722
183,1/8/2023,21,2431.534521
184,1/8/2023,22,1536.331934
185,1/8/2023,23,298.0275244
186,1/8/2023,24,725.3795782
187,1/9/2023,1,-80.61961326
188,1/9/2023,2,1090.068047
189,1/9/2023,3,1774.710707
190,1/9/2023,4,3977.181293
191,1/9/2023,5,2488.594147
192,1/9/2023,6,2499.35144
193,1/9/2023,7,2031.219969
194,1/9/2023,8,2240.059286
195,1/9/2023,9,2599.533696
196,1/9/2023,10,1654.542274
197,1/9/2023,11,2585.17607
198,1/9/2023,12,3131.487576
199,1/9/2023,13,2615.217708
200,1/9/2023,14,1735.949243
201,1/9/2023,15,3001.567148
202,1/9/2023,16,2983.780311
203,1/9/2023,17,4195.287868
204,1/9/2023,18,5015.421612
205,1/9/2023,19,5456.914584
206,1/9/2023,20,5969.673461
207,1/9/2023,21,6738.083379
208,1/9/2023,22,7709.680151
209,1/9/2023,23,7042.33622
210,1/9/2023,24,7377.824761
211,1/10/2023,1,7821.893759
212,1/10/2023,2,6472.205309
213,1/10/2023,3,6222.139656
214,1/10/2023,4,5407.421691
215,1/10/2023,5,5500.216172
216,1/10/2023,6,5309.853228
217,1/10/2023,7,2969.045609
218,1/10/2023,8,2043.367708
219,1/10/2023,9,2731.7089
220,1/10/2023,10,750.4088006
221,1/10/2023,11,-502.5104252
222,1/10/2023,12,-200.4524062
223,1/10/2023,13,561.0274646
224,1/10/2023,14,273.6828048
225,1/10/2023,15,-1542.811841
226,1/10/2023,16,57.88328245
227,1/10/2023,17,-899.0537773
228,1/10/2023,18,502.848865
229,1/10/2023,19,500.6086451
230,1/10/2023,20,-923.9939153
231,1/10/2023,21,173.9298589
232,1/10/2023,22,304.9869155
233,1/10/2023,23,-1302.801895
234,1/10/2023,24,1171.39844
235,1/11/2023,1,976.4141276
236,1/11/2023,2,258.6361241
237,1/11/2023,3,484.3454395
238,1/11/2023,4,1299.215075
239,1/11/2023,5,-183.877441
240,1/11/2023,6,2479.031842
241,1/11/2023,7,3324.279524
242,1/11/2023,8,3483.287106
243,1/11/2023,9,3293.134564
244,1/11/2023,10,2964.217738
245,1/11/2023,11,1758.061901
246,1/11/2023,12,1341.759322
247,1/11/2023,13,184.1144193
248,1/11/2023,14,779.746548
249,1/11/2023,15,2096.247066
250,1/11/2023,16,2158.714802
251,1/11/2023,17,716.7015822
252,1/11/2023,18,1928.884776
253,1/11/2023,19,2552.906562
254,1/11/2023,20,2715.454972
255,1/11/2023,21,2125.944378
256,1/11/2023,22,2388.288228
257,1/11/2023,23,1298.081646
258,1/11/2023,24,877.0345012
259,1/12/2023,1,2407.647756
260,1/12/2023,2,2249.859324
261,1/12/2023,3,2585.935872
262,1/12/2023,4,2638.251046
263,1/12/2023,5,5210.083623
264,1/12/2023,6,4693.701933
265,1/12/2023,7,3606.28187
266,1/12/2023,8,5895.697482
267,1/12/2023,9,6391.690004
268,1/12/2023,10,6776.249665
269,1/12/2023,11,8094.31918
270,1/12/2023,12,7860.683388
271,1/12/2023,13,7988.359925
272,1/12/2023,14,7674.165755
273,1/12/2023,15,7333.893921
274,1/12/2023,16,7429.436873
275,1/12/2023,17,7652.085402
276,1/12/2023,18,7488.639585
277,1/12/2023,19,6970.434809
278,1/12/2023,20,6825.516852
279,1/12/2023,21,8550.979132
280,1/12/2023,22,7308.254915
281,1/12/2023,23,7316.181054
282,1/12/2023,24,7032.358872
283,1/13/2023,1,6202.061409
284,1/13/2023,2,5892.966433
285,1/13/2023,3,7269.611092
286,1/13/2023,4,7469.149306
287,1/13/2023,5,7775.938678
288,1/13/2023,6,8496.142344
289,1/13/2023,7,6409.078616
290,1/13/2023,8,7737.487284
291,1/13/2023,9,7351.608094
292,1/13/2023,10,7638.207033
293,1/13/2023,11,6180.820387
294,1/13/2023,12,5724.351232
295,1/13/2023,13,6000.008067
296,1/13/2023,14,4985.810771
297,1/13/2023,15,7009.616554
298,1/13/2023,16,5891.031867
299,1/13/2023,17,4975.706204
300,1/13/2023,18,5358.586582
301,1/13/2023,19,3868.002919
302,1/13/2023,20,3855.002266
303,1/13/2023,21,4322.602226
304,1/13/2023,22,2447.305625
305,1/13/2023,23,3716.867573
306,1/13/2023,24,2495.180365
307,1/14/2023,1,1545.267047
308,1/14/2023,2,1951.512378
309,1/14/2023,3,2062.195157
310,1/14/2023,4,1274.462774
311,1/14/2023,5,1547.297326
312,1/14/2023,6,1430.832499
313,1/14/2023,7,1810.280098
314,1/14/2023,8,2096.607311
315,1/14/2023,9,1149.935811
316,1/14/2023,10,654.2113325
317,1/14/2023,11,653.9862474
318,1/14/2023,12,843.1618649
319,1/14/2023,13,2318.816781
320,1/14/2023,14,1176.632292
321,1/14/2023,15,1819.423648
322,1/14/2023,16,1361.063067
323,1/14/2023,17,2201.600085
324,1/14/2023,18,3297.24399
325,1/14/2023,19,2575.946087
326,1/14/2023,20,3151.607321
327,1/14/2023,21,5380.531356
328,1/14/2023,22,2845.469747
329,1/14/2023,23,2385.066328
330,1/14/2023,24,5163.061937
331,1/15/2023,1,4999.736057
332,1/15/2023,2,5170.718519
333,1/15/2023,3,4418.127515
334,1/15/2023,4,4403.18924
335,1/15/2023,5,5266.570911
336,1/15/2023,6,5944.475868
337,1/15/2023,7,5485.682408
338,1/15/2023,8,4816.762574
339,1/15/2023,9,6546.357413
340,1/15/2023,10,6394.425583
341,1/15/2023,11,5173.899196
342,1/15/2023,12,6815.630721
343,1/15/2023,14,6152.036292
344,1/15/2023,15,5747.640457
345,1/15/2023,16,5445.92555
346,1/15/2023,17,7608.719953
347,1/15/2023,18,5097.716547
348,1/15/2023,19,5830.100275
349,1/15/2023,20,8555.513251
350,1/15/2023,21,6690.013871
351,1/15/2023,22,8643.150028
352,1/15/2023,23,6557.901694
353,1/15/2023,24,6848.349308
354,1/16/2023,1,5833.803731
355,1/16/2023,2,5767.941397
356,1/16/2023,3,6014.430414
357,1/16/2023,4,5967.481078
358,1/16/2023,5,5741.355575
359,1/16/2023,6,5976.357916
360,1/16/2023,7,4399.097524
361,1/16/2023,8,6601.615007
362,1/16/2023,9,7400.782019
363,1/16/2023,10,7743.775681
364,1/16/2023,11,7635.093517
365,1/16/2023,12,7613.345375
366,1/16/2023,13,5801.146727
367,1/16/2023,14,7632.855967
368,1/16/2023,15,7180.71121
369,1/16/2023,16,8367.980994
370,1/16/2023,17,6937.152096
371,1/16/2023,18,7515.862705
372,1/16/2023,19,6724.268808
373,1/16/2023,20,6406.866713
374,1/16/2023,21,8429.238578
375,1/16/2023,22,7724.438001
376,1/16/2023,23,6866.468045
377,1/16/2023,24,7647.445908
378,1/17/2023,1,6452.049906
379,1/17/2023,2,7963.196143
380,1/17/2023,3,7075.586707
381,1/17/2023,4,6641.469101
382,1/17/2023,5,6576.530158
383,1/17/2023,6,6642.986604
384,1/17/2023,7,6504.857524
385,1/17/2023,8,7114.553379
386,1/17/2023,9,6219.242408
387,1/17/2023,10,7230.631774
388,1/17/2023,11,6322.898569
389,1/17/2023,12,7865.341096
390,1/17/2023,13,9182.44639
391,1/17/2023,14,6695.880802
392,1/17/2023,15,8385.074275
393,1/17/2023,16,8341.572782
394,1/17/2023,17,7691.656249
395,1/17/2023,18,7213.121355
396,1/17/2023,19,7284.211205
397,1/17/2023,20,6517.079788
398,1/17/2023,21,7282.133094
399,1/17/2023,22,7217.649075
400,1/17/2023,23,5962.842292
401,1/17/2023,24,4968.23431
402,1/18/2023,1,6155.50203
403,1/18/2023,2,5725.940174
404,1/18/2023,3,3929.076492
405,1/18/2023,4,3715.341845
406,1/18/2023,5,1809.701773
407,1/18/2023,6,1628.747474
408,1/18/2023,7,1725.446313
409,1/18/2023,8,2768.798884
